type,address,label
blockchain-cuties,0x19fdd6eeccdf4bc30f363f63af44981c1f6a75c4,BC: Buy Energy
blockchain-cuties,0x896421e9c5cc2c5a66019dba2457450b88a8e11b,BC: Coin Minting
blockchain-cuties,0x7d3e5eff86d25e9618512d871f4533c277361cc1,BC: Config
blockchain-cuties,0xb35de956ee39898f08b95a4407aa6ff412db8e45,BC: Cooldown Decrease Effect
blockchain-cuties,0x245aba0b9188e3a00103b7eeee366fe5dc094243,BC: Cooldown End Time Reset Effect
blockchain-cuties,0x047686fb287e7263a23873dea66b4501015a2226,BC: Cute Coin
blockchain-cuties,0xd4dff41f22ebeb96dd9af679ce33606da31f01fd,BC: Cute Coin Price Oracle
blockchain-cuties,0x90818f3cfd5a1692183785daf1cd20c95a86ba3e,BC: Cute Coin Shop
blockchain-cuties,0x82cbd34d49761fcb5bd5915f82c6c7462131f57a,BC: Cutie Reward
blockchain-cuties,0x45f254fd3fef54f3a5a8d601d291f2a5bf9d8d67,BC: Deployer
blockchain-cuties,0x3f80d082998a23ed4edee025b6df7c4f3a1c7958,BC: Generation Decrease Effect 1
blockchain-cuties,0xed3c00a6c0da9a64c307719da5ce629c6ee66dfc,BC: Generation Decrease Effect 2
blockchain-cuties,0x33914fa445969ded631bf4c33d8882c225386620,BC: Item Market
blockchain-cuties,0x3d2bb0f9fa7133799c0fa8e9b7f8cc83d0e4086d,BC: Lottery
blockchain-cuties,0x5a6fc364c0232299fcb7c533b9964ae8d41d7b72,BC: Sale Market 1
blockchain-cuties,0x9fa668f5e5572ea04db6eff1a62eb39ff7fb809e,BC: Sale Market 2
blockchain-cuties,0xafa1ae00ab5aabe9d3f028c0ead4f8e10114408d,BC: Sale Market 3
blockchain-cuties,0x55e851ecb4a8ee090f7b097ba1804db94d90175e,BC: Sale Market 4
blockchain-cuties,0xca891ae246e7177aad7b50dfb1b5e9993a63eafe,BC: Sale Market 5
0x-ecosystem,0x55890b06f0877a01bb5349d93b202961f8e27a9b,Shark Relay
0x-ecosystem,0x0681e844593a051e2882ec897ecd5444efe19ff2,Star Bit Ex
0x-ecosystem,0x7219612be7036d1bfa933e16ca1246008f38c5fe,The Ocean
0x-ecosystem,0x5e150a33ffa97a8d22f59c77ae5487b089ef62e9,TokenJar
0x-ecosystem,0xae76c84c9262cdb9abc0c2c8888e62db8e22a0bf,Uniswap: ZRX
0x-ecosystem,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether
0x-ecosystem,0x2956356cd2a2bf3202f771f50d3d14a367b48070,Wrapped Ether: Old Contract
0x-ecosystem,0xe41d2489571d322189246dafa5ebde1f4699f498,ZRX Token
authereum,0xe4662e6460cc8f866bf87d696124163e330ca323,Authereum: Relayer 0007
authereum,0xcb5d8f2b12279f188f007da0bef2b1f3e0e4224a,Authereum: Relayer 0008
authereum,0x4ed63e3f54e5ae38cad009b108e7c7c8f3300d42,Authereum: Relayer 0009
authereum,0x0407f80e9f3473bba4f55271c7b236ee81ed24b4,Authereum: Relayer 0010
authereum,0x5db9ded487437e0a96391b704885d547756efe68,Authereum: Relayer 0011
authereum,0xc39db8ea388b534b7892f0c82f9d32b22283fc7a,Authereum: Relayer 0012
authereum,0x5a7a4838043285c5dcffc234ac77141968c558b7,Authereum: Relayer 0013
authereum,0xb1571b981bc888a171eaa5c7ad470c4e24b91aa5,Authereum: Relayer 0014
authereum,0x463fcea4a64d3d78beff934fcdf7999930fd093b,Authereum: Relayer 0015
authereum,0x3b44a94c5cc59f13e6e1bf7d021a908c4c993344,Authereum: Relayer 0016
authereum,0xb37d85cd1ee48cf525c9a266f868e959d22b4cce,Authereum: Relayer 0017
